2026-06-22 17:39:43.372 | INFO     | app.main:lifespan:17 - Shutting down SentinelAI
2026-06-22 17:39:43.472 | INFO     | app.main:lifespan:14 - Starting SentinelAI
2026-06-22 17:39:43.529 | INFO     | app.main:lifespan:17 - Shutting down SentinelAI
2026-06-22 17:39:43.582 | INFO     | app.main:lifespan:14 - Starting SentinelAI
2026-06-22 17:39:43.635 | INFO     | app.main:lifespan:17 - Shutting down SentinelAI
2026-06-22 17:40:29.297 | INFO     | app.main:lifespan:14 - Starting SentinelAI
2026-06-22 17:40:29.302 | INFO     | app.main:lifespan:17 - Shutting down SentinelAI
2026-06-22 17:40:29.309 | INFO     | app.main:lifespan:14 - Starting SentinelAI
2026-06-22 17:40:29.313 | INFO     | app.main:lifespan:17 - Shutting down SentinelAI
2026-06-22 17:40:29.317 | INFO     | app.main:lifespan:14 - Starting SentinelAI
2026-06-22 17:40:29.363 | INFO     | app.main:lifespan:17 - Shutting down SentinelAI
2026-06-22 17:40:29.369 | INFO     | app.main:lifespan:14 - Starting SentinelAI
2026-06-22 17:40:29.392 | INFO     | app.main:lifespan:17 - Shutting down SentinelAI
2026-06-22 17:40:29.397 | INFO     | app.main:lifespan:14 - Starting SentinelAI
2026-06-22 17:40:29.433 | INFO     | app.main:lifespan:17 - Shutting down SentinelAI
2026-06-22 17:40:29.438 | INFO     | app.main:lifespan:14 - Starting SentinelAI
2026-06-22 17:40:29.444 | INFO     | app.main:lifespan:17 - Shutting down SentinelAI
2026-06-22 17:40:29.450 | INFO     | app.main:lifespan:14 - Starting SentinelAI
2026-06-22 17:40:29.457 | INFO     | app.main:lifespan:17 - Shutting down SentinelAI
2026-06-22 17:40:29.462 | INFO     | app.main:lifespan:14 - Starting SentinelAI
2026-06-22 17:40:29.468 | INFO     | app.main:lifespan:17 - Shutting down SentinelAI
2026-06-22 17:43:14.591 | INFO     | app.main:lifespan:14 - Starting SentinelAI
2026-06-22 17:43:14.597 | INFO     | app.main:lifespan:17 - Shutting down SentinelAI
2026-06-22 17:43:14.608 | INFO     | app.main:lifespan:14 - Starting SentinelAI
2026-06-22 17:43:14.612 | INFO     | app.main:lifespan:17 - Shutting down SentinelAI
2026-06-22 17:43:14.618 | INFO     | app.main:lifespan:14 - Starting SentinelAI
2026-06-22 17:43:14.648 | INFO     | app.main:lifespan:17 - Shutting down SentinelAI
2026-06-22 17:43:14.655 | INFO     | app.main:lifespan:14 - Starting SentinelAI
2026-06-22 17:43:14.673 | INFO     | app.main:lifespan:17 - Shutting down SentinelAI
2026-06-22 17:43:14.678 | INFO     | app.main:lifespan:14 - Starting SentinelAI
2026-06-22 17:43:14.710 | INFO     | app.main:lifespan:17 - Shutting down SentinelAI
2026-06-22 17:43:14.715 | INFO     | app.main:lifespan:14 - Starting SentinelAI
2026-06-22 17:43:14.721 | INFO     | app.main:lifespan:17 - Shutting down SentinelAI
2026-06-22 17:43:14.726 | INFO     | app.main:lifespan:14 - Starting SentinelAI
2026-06-22 17:43:14.735 | INFO     | app.main:lifespan:17 - Shutting down SentinelAI
2026-06-22 17:43:14.740 | INFO     | app.main:lifespan:14 - Starting SentinelAI
2026-06-22 17:43:14.746 | INFO     | app.main:lifespan:17 - Shutting down SentinelAI
2026-06-22 18:07:05.307 | INFO     | app.main:lifespan:14 - Starting SentinelAI
2026-06-22 18:07:05.312 | INFO     | app.main:lifespan:17 - Shutting down SentinelAI
2026-06-22 18:07:05.323 | INFO     | app.main:lifespan:14 - Starting SentinelAI
2026-06-22 18:07:05.326 | INFO     | app.main:lifespan:17 - Shutting down SentinelAI
2026-06-22 18:07:05.332 | INFO     | app.main:lifespan:14 - Starting SentinelAI
2026-06-22 18:07:05.357 | INFO     | app.main:lifespan:17 - Shutting down SentinelAI
2026-06-22 18:07:05.363 | INFO     | app.main:lifespan:14 - Starting SentinelAI
2026-06-22 18:07:05.380 | INFO     | app.main:lifespan:17 - Shutting down SentinelAI
2026-06-22 18:07:05.385 | INFO     | app.main:lifespan:14 - Starting SentinelAI
2026-06-22 18:07:05.412 | INFO     | app.main:lifespan:17 - Shutting down SentinelAI
2026-06-22 18:07:05.417 | INFO     | app.main:lifespan:14 - Starting SentinelAI
2026-06-22 18:07:05.421 | INFO     | app.main:lifespan:17 - Shutting down SentinelAI
2026-06-22 18:07:05.426 | INFO     | app.main:lifespan:14 - Starting SentinelAI
2026-06-22 18:07:05.431 | INFO     | app.main:lifespan:17 - Shutting down SentinelAI
2026-06-22 18:07:05.436 | INFO     | app.main:lifespan:14 - Starting SentinelAI
2026-06-22 18:07:05.440 | INFO     | app.main:lifespan:17 - Shutting down SentinelAI
2026-06-22 18:34:21.860 | INFO     | app.main:lifespan:14 - Starting SentinelAI
2026-06-22 18:34:21.865 | INFO     | app.main:lifespan:17 - Shutting down SentinelAI
2026-06-22 18:34:21.877 | INFO     | app.main:lifespan:14 - Starting SentinelAI
2026-06-22 18:34:21.881 | INFO     | app.main:lifespan:17 - Shutting down SentinelAI
2026-06-22 18:34:21.889 | INFO     | app.main:lifespan:14 - Starting SentinelAI
2026-06-22 18:34:21.915 | INFO     | app.main:lifespan:17 - Shutting down SentinelAI
2026-06-22 18:34:21.922 | INFO     | app.main:lifespan:14 - Starting SentinelAI
2026-06-22 18:34:21.938 | INFO     | app.main:lifespan:17 - Shutting down SentinelAI
2026-06-22 18:34:21.942 | INFO     | app.main:lifespan:14 - Starting SentinelAI
2026-06-22 18:34:21.971 | INFO     | app.main:lifespan:17 - Shutting down SentinelAI
2026-06-22 18:34:21.997 | INFO     | app.main:lifespan:14 - Starting SentinelAI
2026-06-22 18:34:22.002 | INFO     | app.main:lifespan:17 - Shutting down SentinelAI
2026-06-22 18:34:22.007 | INFO     | app.main:lifespan:14 - Starting SentinelAI
2026-06-22 18:34:22.012 | INFO     | app.main:lifespan:17 - Shutting down SentinelAI
2026-06-22 18:34:22.016 | INFO     | app.main:lifespan:14 - Starting SentinelAI
2026-06-22 18:34:22.022 | INFO     | app.main:lifespan:17 - Shutting down SentinelAI
